DateTime,AddedIPs,RemovedIPs
1579831409,148,143
1579833379,192,102
1579835313,124,138
1579837215,111,50
1579839134,84,72
1579841054,68,60
1579843013,312,67
1579844894,77,55
1579846814,60,73
1579848729,93,82
1579850654,154,99
1579852571,235,127
1579854493,287,105
1579856586,227,137
1579858602,156,78
1579860529,177,632
1579862418,175,514
1579864333,155,622
1579866260,74,469
1579868218,112,530
1579870103,496,828
1579872063,175,824
1579873962,326,904
1579875882,90,792
1579877827,114,859
1579879727,60,760
1579881778,121,876
1579883778,909,803
1579885717,831,749
1579887622,958,736
1579889543,878,727
1579891467,995,737
1579893634,1014,761
1579895536,968,775
1579897480,794,651
1579899378,865,763
1579901297,807,620
1579903280,872,746
1579905147,622,662
1579907241,703,909
1579909229,249,339
1579911139,412,475
1579913077,698,902
1579914975,573,773
1579916912,677,239
1579918811,535,149
1579920729,684,156
1579922698,452,85
1579924575,492,112
1579926490,478,78
1579929402,1042,373
1579931314,802,75
1579933218,640,64
1579935133,676,97
1579937070,382,153
1579938974,96,222
1579940914,113,291
1579942930,264,215
1579944741,158,142
1579946677,165,146
1579948587,198,199
1579950507,265,141
1579952440,159,103
1579954357,154,101
1579956255,161,223
1579958175,81,193
1579960113,89,297
1579962012,139,140
1579963968,105,97
1579965868,63,71
1579967791,63,82
1579969764,164,779
1579972826,129,1326
1579974743,91,1030
1579976659,109,821
1579978606,131,1051
1579980517,124,872
1579982663,75,988
1579984591,81,903
1579986503,70,723
1579988420,59,967
1579990356,83,718
1579992279,122,767
1579994178,95,433
1579996101,134,327
1579998265,86,592
1580000170,88,661
1580002092,59,594
1580005291,188,988
1580007128,50,635
1580009091,130,452
1580010975,95,506
1580012892,115,482
1580016016,119,1138
1580017961,105,844
1580019863,149,657
1580021771,80,662
1580023696,137,337
1580025770,98,135
1580027783,125,185
1580029704,144,221
1580031615,87,205
1580033578,106,210
1580035458,69,660
1580037394,179,213
1580039306,619,213
1580041255,1371,176
1580043132,2852,148
1580045065,1778,83
1580046973,2325,121
1580048889,1696,133
1580050926,2346,124
1580052746,2081,88
1580054575,2045,67
1580056576,2357,202
1580058511,2098,84
1580060413,2626,92
1580062335,2052,107
1580064269,2257,137
1580066176,1958,106
1580068095,2413,132
1580070028,1987,63
1580071929,2393,92
1580073856,1897,75
1580075786,2567,79
1580077688,2364,121
1580080577,640,137
1580082500,273,129
1580084422,394,81
1580086330,399,95
1580088254,377,73
1580090194,458,115
1580092095,388,68
1580095229,817,178
1580097141,552,103
1580099055,469,83
1580100982,479,75
1580102890,330,71
1580104953,401,100
1580106977,361,156
1580108913,426,71
1580110820,468,122
1580112737,375,99
1580114667,656,138
1580116575,641,124
1580118740,726,81
1580120663,365,98
1580122587,438,51
1580124496,403,330
1580127415,861,1295
1580129543,605,3143
1580131459,440,1776
1580133394,401,2335
1580135296,81,1646
1580137368,63,2353
1580139369,65,2321
1580142256,165,3196
1580144186,87,2425
1580146093,91,2338
1580148113,104,2235
1580149947,104,1924
1580151910,111,2018
1580153780,93,2338
1580155724,98,2071
1580157619,98,2262
1580159563,101,2070
1580161459,88,2397
1580163405,109,1990
1580165317,112,1458
1580167220,97,278
1580169150,94,359
1580171057,92,450
1580172991,113,451
1580174893,74,399
1580176989,115,454
1580178970,92,474
1580181159,97,524
1580183054,102,580
1580184978,112,574
1580186916,96,539
1580188811,89,365
1580190729,97,366
1580192667,95,354
1580194623,91,448
1580196495,100,457
1580198548,103,439
1580200582,108,612
1580202493,117,826
1580204411,101,840
1580206349,76,404
1580208249,55,418
1580210176,68,462
1580212106,75,620
1580214010,71,594
1580215934,62,581
1580217867,87,487
1580219772,57,427
1580221711,86,97
1580223733,72,73
1580225552,83,75
1580227512,90,79
1580229394,92,190
1580231562,92,100
1580233456,89,123
1580235404,91,107
1580237298,86,134
1580239232,76,116
1580241134,68,104
1580243055,84,102
1580245008,72,137
1580246929,78,106
1580249070,67,123
1580250977,91,142
1580252910,64,117
1580254814,79,113
1580256739,83,110
1580258665,95,118
1580260576,73,93
1580262492,103,100
1580264435,76,113
1580266348,75,105
